Monat,Bezeichnung,Link,KatVisits,PIs,Quelle,Nutzungsbedingungen
202011,apotheken-umschau.de,http://www.apotheken-umschau.de,4850834,13106085,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202010,apotheken-umschau.de,http://www.apotheken-umschau.de,4639913,10763550,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202009,apotheken-umschau.de,http://www.apotheken-umschau.de,3912100,9106448,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202008,apotheken-umschau.de,http://www.apotheken-umschau.de,4331467,10497447,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202007,apotheken-umschau.de,http://www.apotheken-umschau.de,4894748,12287670,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202006,apotheken-umschau.de,http://www.apotheken-umschau.de,5385358,13325783,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202005,apotheken-umschau.de,http://www.apotheken-umschau.de,5894076,14890243,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202004,apotheken-umschau.de,http://www.apotheken-umschau.de,5129493,13716875,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202003,apotheken-umschau.de,http://www.apotheken-umschau.de,5708850,14553651,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202002,apotheken-umschau.de,http://www.apotheken-umschau.de,5358077,13565157,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202001,apotheken-umschau.de,http://www.apotheken-umschau.de,5006064,12969930,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201912,apotheken-umschau.de,http://www.apotheken-umschau.de,3591532,9353394,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201911,apotheken-umschau.de,http://www.apotheken-umschau.de,3939791,10059346,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201910,apotheken-umschau.de,http://www.apotheken-umschau.de,,,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201909,apotheken-umschau.de,http://www.apotheken-umschau.de,2072454,4986073,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
201908,apotheken-umschau.de,http://www.apotheken-umschau.de,3851269,9384012,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
